iso_time,status,label,nWaypoints
2026-07-29T15:23:28.912,attempt,leg,2
2026-07-29T15:23:28.926,reached,leg,2
2026-07-29T15:23:33.517,attempt,leg,2
2026-07-29T15:23:33.524,reached,leg,2
2026-07-29T15:23:47.004,attempt,leg,47
2026-07-29T15:24:16.195,reached,leg,47
2026-07-29T15:24:51.997,attempt,leg,6
2026-07-29T15:24:55.022,reached,leg,6
2026-07-29T15:24:59.306,attempt,leg,12
2026-07-29T15:25:06.028,reached,leg,12
2026-07-29T15:25:10.379,attempt,leg,12
2026-07-29T15:25:17.134,reached,leg,12
2026-07-29T15:25:23.186,attempt,leg,6
2026-07-29T15:25:26.398,reached,leg,6
2026-07-29T15:25:27.099,attempt,leg,10
2026-07-29T15:25:32.772,reached,leg,10
2026-07-29T15:25:36.986,attempt,leg,11
2026-07-29T15:25:43.180,reached,leg,11
2026-07-29T15:25:51.603,attempt,leg,11
2026-07-29T15:25:58.004,reached,leg,11
2026-07-29T15:26:02.355,attempt,leg,13
2026-07-29T15:26:09.858,reached,leg,13
2026-07-29T15:26:14.356,attempt,leg,13
2026-07-29T15:26:21.863,reached,leg,13
2026-07-29T15:26:37.442,attempt,leg,44
2026-07-29T15:27:04.881,reached,leg,44
2026-07-29T15:33:53.910,attempt,leg,11
2026-07-29T15:34:00.341,reached,leg,11
2026-07-29T15:34:14.710,attempt,leg,6
2026-07-29T15:34:17.815,reached,leg,6
2026-07-29T15:34:22.109,attempt,leg,12
2026-07-29T15:34:29.056,reached,leg,12
2026-07-29T15:34:33.476,attempt,leg,12
2026-07-29T15:34:40.448,reached,leg,12
2026-07-29T15:34:48.196,attempt,leg,33
2026-07-29T15:35:08.238,reached,leg,33
2026-07-29T15:35:08.804,attempt,leg,8
2026-07-29T15:35:13.430,reached,leg,8
2026-07-29T15:35:17.508,attempt,leg,9
2026-07-29T15:35:22.480,reached,leg,9
2026-07-29T15:35:50.323,attempt,leg,52
2026-07-29T15:36:22.477,reached,leg,52
2026-07-29T15:36:26.691,attempt,leg,11
2026-07-29T15:36:32.917,reached,leg,11
2026-07-29T15:36:37.213,attempt,leg,11
2026-07-29T15:36:43.472,reached,leg,11
2026-07-29T15:36:53.044,attempt,leg,20
2026-07-29T15:37:05.100,reached,leg,20
2026-07-29T15:37:05.946,attempt,leg,12
2026-07-29T15:37:12.846,reached,leg,12
2026-07-29T15:37:17.188,attempt,leg,13
2026-07-29T15:37:24.578,reached,leg,13
2026-07-29T15:38:27.531,attempt,leg,51
2026-07-29T15:38:59.052,reached,leg,51
2026-07-29T15:39:03.355,attempt,leg,12
2026-07-29T15:39:10.147,reached,leg,12
2026-07-29T15:39:14.649,attempt,leg,12
2026-07-29T15:39:21.460,reached,leg,12
2026-07-29T15:39:33.586,attempt,leg,38
2026-07-29T15:39:56.843,reached,leg,38
2026-07-29T15:39:57.410,attempt,leg,8
2026-07-29T15:40:01.987,reached,leg,8
2026-07-29T15:40:06.066,attempt,leg,9
2026-07-29T15:40:11.106,reached,leg,9
2026-07-29T15:40:27.113,attempt,leg,23
2026-07-29T15:40:40.916,reached,leg,23
2026-07-29T15:40:45.064,attempt,leg,10
2026-07-29T15:40:50.770,reached,leg,10
2026-07-29T15:40:54.977,attempt,leg,10
2026-07-29T15:41:00.683,reached,leg,10
2026-07-29T15:41:21.073,attempt,leg,18
2026-07-29T15:41:31.841,reached,leg,18
2026-07-29T15:41:32.616,attempt,leg,11
2026-07-29T15:42:13.168,attempt,leg,19
2026-07-29T15:42:23.705,reached,leg,19
2026-07-29T15:42:24.346,attempt,leg,9
2026-07-29T15:42:29.530,reached,leg,9
2026-07-29T15:42:33.703,attempt,leg,10
2026-07-29T15:42:39.376,reached,leg,10
