iso_time,status,label,nWaypoints,nCertified,maxCollapseDevDeg
2026-07-29T18:24:41.371,attempt,leg,2,53,0.000000
2026-07-29T18:24:49.253,reached,leg,2,53,0.000000
2026-07-29T18:24:53.854,attempt,leg,2,2,0.000000
2026-07-29T18:24:53.861,reached,leg,2,2,0.000000
2026-07-29T18:27:05.046,attempt,leg,2,44,0.000000
2026-07-29T18:27:12.229,reached,leg,2,44,0.000000
2026-07-29T18:27:16.515,attempt,leg,3,12,0.000000
2026-07-29T18:27:20.142,reached,leg,3,12,0.000000
2026-07-29T18:27:24.487,attempt,leg,3,12,0.000000
2026-07-29T18:27:28.158,reached,leg,3,12,0.000000
2026-07-29T18:27:41.227,attempt,leg,2,31,0.000000
2026-07-29T18:27:47.069,reached,leg,2,31,0.000000
2026-07-29T18:27:47.650,attempt,leg,2,8,0.000000
2026-07-29T18:27:50.307,reached,leg,2,8,0.000000
2026-07-29T18:27:54.558,attempt,leg,3,9,0.000000
2026-07-29T18:27:57.620,reached,leg,3,9,0.000000
2026-07-29T18:28:11.195,attempt,leg,2,33,0.000000
2026-07-29T18:28:17.228,reached,leg,2,33,0.000000
2026-07-29T18:28:21.522,attempt,leg,3,12,0.000000
2026-07-29T18:28:25.275,reached,leg,3,12,0.000000
2026-07-29T18:28:29.755,attempt,leg,3,12,0.000000
2026-07-29T18:28:33.467,reached,leg,3,12,0.000000
2026-07-29T18:28:41.081,attempt,leg,2,27,0.000000
2026-07-29T18:28:46.433,reached,leg,2,27,0.000000
2026-07-29T18:28:47.219,attempt,leg,2,11,0.000000
2026-07-29T18:28:50.281,reached,leg,2,11,0.000000
2026-07-29T18:28:54.571,attempt,leg,3,12,0.000000
2026-07-29T18:28:58.140,reached,leg,3,12,0.000000
2026-07-29T18:29:03.819,attempt,leg,2,7,0.000000
2026-07-29T18:29:06.077,reached,leg,2,7,0.000000
2026-07-29T18:29:10.466,attempt,leg,3,13,0.248715
2026-07-29T18:29:14.340,reached,leg,3,13,0.248715
2026-07-29T18:29:18.769,attempt,leg,3,13,0.000000
2026-07-29T18:29:22.529,reached,leg,3,13,0.000000
2026-07-29T18:29:41.140,attempt,leg,2,40,0.000000
2026-07-29T18:29:47.891,reached,leg,2,40,0.000000
2026-07-29T18:30:46.499,attempt,leg,2,13,0.000000
2026-07-29T18:30:49.978,reached,leg,2,13,0.000000
2026-07-29T18:30:57.297,attempt,leg,2,11,0.000000
2026-07-29T18:31:00.497,reached,leg,2,11,0.000000
2026-07-29T18:31:04.841,attempt,leg,3,13,0.000000
2026-07-29T18:31:08.714,reached,leg,3,13,0.000000
2026-07-29T18:31:13.146,attempt,leg,3,13,0.000000
2026-07-29T18:31:16.986,reached,leg,3,13,0.000000
2026-07-29T18:31:31.313,attempt,leg,2,38,0.000000
2026-07-29T18:31:37.914,reached,leg,2,38,0.000000
2026-07-29T18:31:38.492,attempt,leg,2,8,0.000000
2026-07-29T18:31:41.148,reached,leg,2,8,0.000000
2026-07-29T18:31:45.243,attempt,leg,3,9,0.000000
2026-07-29T18:31:48.307,reached,leg,3,9,0.000000
2026-07-29T18:33:04.202,attempt,leg,2,34,0.000000
2026-07-29T18:33:10.354,reached,leg,2,34,0.000000
2026-07-29T18:33:14.602,attempt,leg,3,11,0.000000
2026-07-29T18:33:18.009,reached,leg,3,11,0.000000
2026-07-29T18:33:22.297,attempt,leg,3,11,0.000000
2026-07-29T18:33:25.640,reached,leg,3,11,0.000000
2026-07-29T18:33:39.880,attempt,leg,2,30,0.000000
2026-07-29T18:33:45.666,reached,leg,2,30,0.000000
2026-07-29T18:33:46.376,attempt,leg,2,10,0.000000
2026-07-29T18:33:49.265,reached,leg,2,10,0.000000
2026-07-29T18:33:53.615,attempt,leg,3,11,0.000000
2026-07-29T18:33:57.042,reached,leg,3,11,0.000000
2026-07-29T18:34:05.165,attempt,leg,2,44,0.000000
2026-07-29T18:34:12.257,reached,leg,2,44,0.000000
2026-07-29T18:34:16.540,attempt,leg,3,12,0.000000
2026-07-29T18:34:20.223,reached,leg,3,12,0.000000
2026-07-29T18:34:24.574,attempt,leg,3,12,0.000000
2026-07-29T18:34:28.264,reached,leg,3,12,0.000000
2026-07-29T18:34:50.134,attempt,leg,2,8,0.000000
2026-07-29T18:34:52.656,reached,leg,2,8,0.000000
2026-07-29T18:34:53.630,attempt,leg,2,12,0.000000
2026-07-29T18:34:56.934,reached,leg,2,12,0.000000
2026-07-29T18:35:01.277,attempt,leg,3,13,0.000000
2026-07-29T18:35:05.094,reached,leg,3,13,0.000000
2026-07-29T18:36:07.633,attempt,leg,2,30,0.000000
2026-07-29T18:36:13.342,reached,leg,2,30,0.000000
2026-07-29T18:36:21.623,attempt,leg,2,10,0.000000
2026-07-29T18:36:24.478,reached,leg,2,10,0.000000
2026-07-29T18:36:28.770,attempt,leg,3,12,0.000000
2026-07-29T18:36:32.509,reached,leg,3,12,0.000000
2026-07-29T18:36:36.852,attempt,leg,3,12,0.000000
2026-07-29T18:36:40.534,reached,leg,3,12,0.000000
2026-07-29T18:37:12.773,attempt,leg,2,11,0.000000
2026-07-29T18:37:15.911,reached,leg,2,11,0.000000
2026-07-29T18:37:16.489,attempt,leg,2,6,0.000000
2026-07-29T18:37:18.638,reached,leg,2,6,0.000000
2026-07-29T18:37:22.589,attempt,leg,3,7,0.000000
2026-07-29T18:37:25.165,reached,leg,3,7,0.000000
2026-07-29T18:38:59.997,attempt,leg,2,8,0.000000
2026-07-29T18:39:02.438,reached,leg,2,8,0.000000
2026-07-29T18:39:06.819,attempt,leg,3,13,0.000000
2026-07-29T18:39:10.629,reached,leg,3,13,0.000000
2026-07-29T18:39:15.044,attempt,leg,3,13,0.000000
2026-07-29T18:39:18.805,reached,leg,3,13,0.000000
2026-07-29T18:39:37.023,attempt,leg,2,34,0.000000
2026-07-29T18:39:43.204,reached,leg,2,34,0.000000
2026-07-29T18:39:43.779,attempt,leg,2,8,0.000000
2026-07-29T18:39:46.443,reached,leg,2,8,0.000000
2026-07-29T18:39:50.538,attempt,leg,3,9,0.000000
2026-07-29T18:39:53.634,reached,leg,3,9,0.000000
2026-07-29T18:40:10.172,attempt,leg,2,40,0.000000
2026-07-29T18:40:16.875,reached,leg,2,40,0.000000
2026-07-29T18:40:21.300,attempt,leg,3,14,0.000000
2026-07-29T18:40:25.339,reached,leg,3,14,0.000000
2026-07-29T18:40:29.826,attempt,leg,3,14,0.000000
2026-07-29T18:40:33.850,reached,leg,3,14,0.000000
