leg,ok,whyCode,nWaypoints,failWaypoint,minSelfClear,minBoxMargin,minFloorDist,envChecked,tolXY,tolZfloor,tolZceil,seed
sim,1,OK,53,0,0.0171847,0.40292,0.220678,1,0.12,0,0.12,NaN
hw,1,OK,53,0,0.0171847,0.40292,0.220678,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172001,0.417689,0.251135,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172001,0.417689,0.251135,1,0.12,0,0.12,NaN
sim,1,OK,44,0,0.0171825,0.399572,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,44,0,0.0171825,0.399572,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172245,0.394212,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172245,0.394212,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172245,0.394212,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172245,0.394212,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,31,0,0.0171654,0.15,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,31,0,0.0171654,0.15,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,33,0,0.0171722,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,33,0,0.0171722,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171756,0.256026,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171756,0.255279,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171756,0.256026,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171756,0.256026,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,27,0,0.0171329,0.257909,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,27,0,0.0171329,0.257909,0.155677,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171334,0.404753,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171334,0.404753,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171334,0.404753,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171334,0.404753,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,7,0,0.0171419,0.404753,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,7,0,0.0171419,0.404753,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171565,0.408104,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171565,0.408104,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171565,0.408104,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171565,0.408104,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,40,0,0.0171271,0.34761,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,40,0,0.0171271,0.34761,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0171611,0.34761,0.176678,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171611,0.34761,0.176678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171576,0.292272,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171576,0.292272,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172236,0.292272,0.0606777,1,0.12,0,0.12,NaN
