leg,ok,whyCode,nWaypoints,failWaypoint,minSelfClear,minBoxMargin,minFloorDist,envChecked,tolXY,tolZfloor,tolZceil,seed
sim,1,OK,55,0,0.0171229,0.2881,0.25,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0171911,0.36,0.25,1,0.12,0,0.12,NaN
sim,1,OK,19,0,0.0171379,0.24,0.174,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.017135,0.24,0.054,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.017135,0.24,0.054,1,0.12,0,0.12,NaN
sim,1,OK,48,0,0.0171333,0.15,0.174,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171826,0.146481,0.054,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171826,0.146481,0.054,1,0.12,0,0.12,NaN
sim,1,OK,28,0,0.0171254,0.15,0.149,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171595,0.275373,0.029,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171595,0.275373,0.029,1,0.12,0,0.12,NaN
sim,1,OK,38,0,0.0171261,0.129318,0.149,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171818,0.146792,0.128,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171818,0.146792,0.128,1,0.12,0,0.12,NaN
sim,1,OK,14,0,0.0171675,0.15,0.14,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171655,0.24,0.02,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171655,0.24,0.02,1,0.12,0,0.12,NaN
sim,1,OK,7,0,0.0171503,0.17,0.14,1,0.12,0,0.12,NaN
sim,1,OK,23,0,0.0171316,0.17,0.17,1,0.12,0,0.12,NaN
sim,1,OK,16,0,0.0171452,0.24,0.17,1,0.12,0,0.12,NaN
sim,1,OK,16,0,0.0171452,0.24,0.17,1,0.12,0,0.12,NaN
sim,1,OK,23,0,0.0171446,0.15,0.14,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.0171469,0.148746,0.14,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171818,0.146792,0.128,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171818,0.146792,0.128,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0172424,0.148945,0.248,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0172269,0.147027,0.202,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0172269,0.147027,0.202,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.0171453,0.147407,0.14,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,19,0,0.0171553,0.15,0.14,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.017155,0.15,0.185,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.017155,0.15,0.185,1,0.12,0,0.12,NaN
sim,1,OK,28,0,0.0171757,0.17,0.14,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172264,0.17,0.02,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172264,0.17,0.02,1,0.12,0,0.12,NaN
sim,1,OK,56,0,0.0171512,0.15,0.14,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0172269,0.147027,0.202,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0172269,0.147027,0.202,1,0.12,0,0.12,NaN
sim,1,OK,7,0,0.0172006,0.148958,0.322,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172006,0.147246,0.276,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172006,0.147246,0.276,1,0.12,0,0.12,NaN
sim,1,OK,56,0,0.0171341,0.15,0.14,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172264,0.17,0.02,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172264,0.17,0.02,1,0.12,0,0.12,NaN
sim,1,OK,28,0,0.0171757,0.17,0.14,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0171911,0.36,0.25,1,0.12,0,0.12,NaN
sim,1,OK,29,0,0.0171328,0.15,0.25,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171818,0.147263,0.341,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171818,0.147263,0.341,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172184,0.15,0.461,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171818,0.147263,0.341,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171818,0.147263,0.341,1,0.12,0,0.12,NaN
sim,1,OK,29,0,0.0171328,0.15,0.25,1,0.12,0,0.12,NaN
sim,1,OK,29,0,0.0171303,0.15,0.25,1,0.12,0,0.12,NaN
sim,1,OK,29,0,0.0171303,0.15,0.25,1,0.12,0,0.12,NaN
sim,1,OK,23,0,0.0171446,0.15,0.14,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,17,0,0.0171264,0.145141,0.14,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172006,0.147246,0.276,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172006,0.147246,0.276,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171831,0.14896,0.396,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171817,0.147252,0.35,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171817,0.147252,0.35,1,0.12,0,0.12,NaN
sim,1,OK,23,0,0.0171456,0.14122,0.14,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171422,0.146441,0.02,1,0.12,0,0.12,NaN
sim,1,OK,19,0,0.0171553,0.15,0.14,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.017155,0.15,0.185,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.017155,0.15,0.185,1,0.12,0,0.12,NaN
